Date,Open,High,Low,Close,Adj Close,Volume
2014-02-24,1367.339966,1378.469971,1362.660034,1377.790039,1377.790039,0
2014-02-25,1378.630005,1379.400024,1370.079956,1377.969971,1377.969971,0
2014-02-26,1378.329956,1378.869995,1370.380005,1375.619995,1375.619995,0
2014-02-27,1375.260010,1376.910034,1361.250000,1372.260010,1372.260010,0
2014-02-28,1372.660034,1377.010010,1365.699951,1375.569946,1375.569946,0
2014-03-03,1378.469971,1378.469971,1344.170044,1344.670044,1344.670044,0
2014-03-04,1345.459961,1372.859985,1343.819946,1372.510010,1372.510010,0
2014-03-05,1372.459961,1375.030029,1368.650024,1371.979980,1371.979980,0
2014-03-06,1371.880005,1379.280029,1371.050049,1372.770020,1372.770020,0
2014-03-07,1370.349976,1373.729980,1354.339966,1354.949951,1354.949951,0
2014-03-10,1354.239990,1362.140015,1343.479980,1349.109985,1349.109985,0
2014-03-11,1351.689941,1357.109985,1346.500000,1349.270020,1349.270020,0
2014-03-12,1350.439941,1350.439941,1328.479980,1334.969971,1334.969971,0
2014-03-13,1331.619995,1337.839966,1320.260010,1320.920044,1320.920044,0
2014-03-14,1323.869995,1323.869995,1302.920044,1311.329956,1311.329956,0
2014-03-17,1314.209961,1327.099976,1311.560059,1325.109985,1325.109985,0
2014-03-18,1325.920044,1340.500000,1317.699951,1333.859985,1333.859985,0
2014-03-19,1332.660034,1337.770020,1330.520020,1332.359985,1332.359985,0
2014-03-20,1339.729980,1339.729980,1319.520020,1333.170044,1333.170044,0
2014-03-21,1335.109985,1339.260010,1331.020020,1334.199951,1334.199951,0
2014-03-24,1334.150024,1334.930054,1317.849976,1320.410034,1320.410034,0
2014-03-25,1315.780029,1339.430054,1315.780029,1337.239990,1337.239990,0
2014-03-26,1336.069946,1351.209961,1336.069946,1346.229980,1346.229980,0
2014-03-27,1347.589966,1349.900024,1340.849976,1348.630005,1348.630005,0
2014-03-28,1348.189941,1359.780029,1348.189941,1359.329956,1359.329956,0
2014-03-31,1358.930054,1368.390015,1358.930054,1361.410034,1361.410034,0
2014-04-01,1361.650024,1371.969971,1361.520020,1369.010010,1369.010010,0
2014-04-02,1367.869995,1373.510010,1367.869995,1371.469971,1371.469971,0
2014-04-03,1370.719971,1378.359985,1366.119995,1373.410034,1373.410034,0
2014-04-04,1373.760010,1384.400024,1373.619995,1381.290039,1381.290039,0
2014-04-07,1380.829956,1380.920044,1363.819946,1364.650024,1364.650024,0
2014-04-08,1364.849976,1368.209961,1352.589966,1361.500000,1361.500000,0
2014-04-09,1362.829956,1370.949951,1361.619995,1366.689941,1366.689941,0
2014-04-10,1366.689941,1374.119995,1358.180054,1359.199951,1359.199951,0
2014-04-11,1358.989990,1359.079956,1334.020020,1341.189941,1341.189941,0
2014-04-14,1346.520020,1347.660034,1329.599976,1347.500000,1347.500000,0
2014-04-15,1346.140015,1349.530029,1334.290039,1334.959961,1334.959961,0
2014-04-16,1333.079956,1351.449951,1333.079956,1350.780029,1350.780029,0
2014-04-17,1348.920044,1358.079956,1345.939941,1357.750000,1357.750000,0
2014-04-21,null,null,null,null,null,null
2014-04-22,1358.479980,1377.739990,1358.300049,1375.959961,1375.959961,0
2014-04-23,1374.760010,1375.449951,1367.199951,1368.510010,1368.510010,0
2014-04-24,1366.979980,1379.410034,1361.410034,1372.619995,1372.619995,0
2014-04-25,1372.170044,1372.739990,1358.040039,1362.219971,1362.219971,0
2014-04-28,1363.250000,1371.310059,1362.410034,1365.849976,1365.849976,0
2014-04-29,1365.189941,1382.439941,1365.140015,1382.280029,1382.280029,0
2014-04-30,1381.979980,1384.969971,1378.160034,1382.180054,1382.180054,0
2014-05-01,1381.760010,1384.579956,1381.109985,1384.479980,1384.479980,0
2014-05-02,1385.130005,1389.510010,1377.839966,1380.630005,1380.630005,0
2014-05-05,1379.189941,1380.670044,1368.310059,1377.560059,1377.560059,0
2014-05-06,1377.560059,1382.170044,1370.770020,1373.489990,1373.489990,0
2014-05-07,1373.829956,1377.089966,1367.800049,1374.560059,1374.560059,0
2014-05-08,1374.209961,1389.150024,1372.109985,1388.859985,1388.859985,0
2014-05-09,1392.520020,1392.520020,1381.010010,1385.189941,1385.189941,0
